index,id,name,artists,danceability,duration_ms,energy,instrumentalness,liveness,popularity,speechiness
1,5NR2UScCobzDg4zpbZYIel,Sultry Ambiance for 2021,['Cafe BGM'],0,136069,0.00654,0.85,0.113,10,0
2,3Jzl6AaolapozckZc37hNG,Fashionable Moods for New Years Resolutions,['Summer Chilling Jazz'],0,154366,0.0145,0.905,0.0931,0,0
3,3Jzl6AaolapozckZc37hNG,Fashionable Moods for New Years Resolutions,['Summer Chilling Jazz'],0,154366,0.0145,0.905,0.0931,0,0
4,1o4AF03vapjIAwBHTWO4WV,Stone Cold,['Demi Lovato'],0.329,191308,0.453,0,0.1,5,0.0656
5,7J1oIXHwn6BcDnFEKb9NKF,A New Year 2021,['Intergalactical'],0.203,301045,0.384,0.86,0.165,0,0.0341
6,7J1oIXHwn6BcDnFEKb9NKF,A New Year 2021,['Intergalactical'],0.203,301045,0.384,0.86,0.165,0,0.0341
7,2L3OylrKkMHiwXMHX4cGYE,Power of Tradition,['Asian Tradition Universe'],0.503,283405,0.361,0.882,0.34,0,0.0321
8,2L3OylrKkMHiwXMHX4cGYE,Power of Tradition,['Asian Tradition Universe'],0.503,283405,0.361,0.882,0.34,0,0.0321
9,1IW9MrCnH91a7NxRp1HP1U,How Long Will I Love You,['Ellie Goulding'],0.401,154435,0.304,0.000645,0.118,1,0.0331
10,2vsQxFM7iZj5PCZR80Hz74,Yearning Waltz no. 2,['Victor Carbajo'],0.36,208000,0.202,0.923,0.109,0,0.0427
11,2ux3Hwplkwjg78LnWgq9Nf,Sống Lâu Trăm Tuổi,['Mysterious World Music'],0.217,233129,0.18,0.816,0.101,5,0.0387
12,2ux3Hwplkwjg78LnWgq9Nf,Sống Lâu Trăm Tuổi,['Mysterious World Music'],0.217,233129,0.18,0.816,0.101,5,0.0387
13,38u6oFDiN1v8mOwFf0s08S,Baby,"['Justin Bieber', 'Ludacris']",0.731,216613,0.842,0,0.0988,11,0.113
14,7klxym5CiaKi6LKV6xWuSf,Amazing New Years Resolutions,['Jazz BGM'],0.747,130961,0.0264,0.925,0.11,0,0.101
15,7klxym5CiaKi6LKV6xWuSf,Amazing New Years Resolutions,['Jazz BGM'],0.747,130961,0.0264,0.925,0.11,0,0.101
16,3ij8qIzoiyuQ86VSmZ00Lc,Happy New Year 2021,['Doctor Fantasy'],0.264,138126,0.263,0.156,0.0736,0,0.0365
17,3ij8qIzoiyuQ86VSmZ00Lc,Happy New Year 2021,['Doctor Fantasy'],0.264,138126,0.263,0.156,0.0736,0,0.0365
18,7ekjSzRMocH0iZUs0hf2f3,Phenomenal 2021,['Slow Relaxing Jazz'],0.644,120001,0.0268,0.952,0.0885,4,0.208
19,7ekjSzRMocH0iZUs0hf2f3,Phenomenal 2021,['Slow Relaxing Jazz'],0.644,120001,0.0268,0.952,0.0885,4,0.208
20,5qsnRam5X2cnzcyQY7Z7z9,Local Spirits,['Mysterious World Music'],0.24,192500,0.216,0.772,0.134,4,0.0507
21,5qsnRam5X2cnzcyQY7Z7z9,Local Spirits,['Mysterious World Music'],0.24,192500,0.216,0.772,0.134,4,0.0507
22,0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,['Morgan Wallen'],0.403,202133,0.537,0,0.112,80,0.031
